Unnamed: 0,Restaurant Name,City,Locality,Cuisines,Average Cost for two,Has Table booking,Has Online delivery, Rating Stars out of 5,Rating in text,Price range,Votes
0,Sultans of Spice,0,20,23,20,1,1,4.1,3,3,314
1,The Fatty Bao - Asian Gastro Bar,0,56,1,32,1,1,4.7,1,4,591
2,Toit,0,56,16,28,0,0,4.8,1,4,270
3,Three Dots & A Dash,0,56,10,20,1,0,3.9,2,3,365
4,Bombay Brasserie,0,56,21,22,0,1,4.2,3,3,229
5,Glen's Bakehouse,0,56,2,12,0,0,4,3,2,336
6,Onesta,0,56,11,8,0,1,4.3,3,2,520
7,Onesta,0,58,11,8,0,0,4.6,1,2,677
8,ECHOES Koramangala,0,66,8,15,0,0,4.7,1,2,621
9,Truffles,0,66,0,12,0,1,4.7,1,2,532
10,The Black Pearl,0,66,23,21,1,0,4.1,3,3,1070
11,Eat Street,0,67,23,4,0,1,4.3,3,1,488
12,Koramangala Social,0,68,8,22,0,0,4.5,1,3,294
13,AB's - Absolute Barbecues,0,82,10,21,0,0,4.6,1,3,458
14,Flechazo,0,82,1,19,1,0,4.4,3,3,223
15,Onesta,0,87,11,8,0,0,4.6,1,2,29
16,Communiti,0,104,8,19,0,0,4.2,3,3,72
17,Big Brewsky,0,109,11,26,1,1,4.5,1,3,211
18,Hoot,0,109,8,21,0,0,3.9,2,3,118
19,Farzi Cafe,0,124,21,22,0,0,4.4,3,3,392
20,The Night Factory,1,29,23,13,0,1,3.7,2,2,535
21,Brooklyn Central,1,38,0,23,0,0,4.2,3,3,618
22,Chili's,1,38,20,21,0,1,4.3,3,3,6
23,Kylin Experience,1,38,17,23,0,0,4.1,3,3,9
24,Mocha Bar,1,38,8,21,0,0,4,3,3,11
25,Pirates of Grill,1,38,23,19,0,0,4,3,3,11
26,Barbeque Nation,1,110,23,20,0,0,4.5,1,3,11
27,TGI Friday's,1,110,0,26,0,0,4.3,3,3,10
28,Pal Dhaba,1,111,23,10,0,0,3.8,2,2,8
29,Midnight Chef,1,112,23,16,0,1,3.4,0,3,5
30,Nik Baker's,1,112,2,9,0,0,4.1,3,2,2
31,OvenFresh,1,112,5,9,0,0,4.1,3,2,12
32,Super Donuts,1,112,11,5,0,1,4,3,1,9
33,Taco Bell,1,112,20,8,0,1,4.2,3,2,9
34,Karim's,1,114,22,12,0,0,3.3,0,2,29
35,Virgin Courtyard,1,114,16,30,0,0,4.4,3,4,17
36,Burgrill,1,115,11,6,0,1,4.5,1,2,5
37,Uncle Jack's,1,115,9,8,0,0,4,3,2,10
38,That Madras Place,2,3,10,12,1,1,4.2,3,2,6
39,Haunted,2,9,23,12,1,1,3.8,2,2,30
40,Pantry d'or,2,9,8,11,1,1,4.4,3,2,8
41,Palmshore,2,11,23,13,1,1,4.2,3,2,9
42,Chili's,2,40,20,25,1,1,4.8,1,3,7
43,Writer's Cafe,2,48,5,5,0,1,4.2,3,1,29
44,Fusilli Reasons,2,64,16,3,0,0,4.6,1,1,24
45,Ciclo Cafe,2,70,5,18,0,0,4.1,3,3,29
46,Kaidi Kitchen,2,84,16,22,1,1,4,3,3,11
47,Bombay Brasserie,2,88,23,19,1,1,4.6,1,3,19
48,Maplai,2,88,26,16,1,0,4.2,3,3,40
49,Paradise,2,93,4,14,0,1,3.8,2,2,21
50,L'amandier,2,99,10,19,1,1,4.3,3,3,49
51,Palmshore,2,100,23,13,1,1,4.4,3,2,21
52,Palmshore,2,108,23,13,1,1,4.3,3,2,14
53,Basil With A Twist,2,122,8,22,1,1,4.5,1,3,5
54,Barbeque Nation,2,122,23,28,0,0,4.4,3,4,25
55,AB's - Absolute Barbecues,2,129,23,23,0,0,4.9,1,3,13
56,Coal Barbecues,2,129,23,21,0,0,4.6,1,3,7
57,Pind,2,129,23,14,1,0,4,3,2,8
58,Baba Au Rhum,3,7,16,12,0,0,4.5,1,3,1
59,Burger Factory,3,7,11,18,0,0,4.8,1,4,44
60,Club Cubana,3,7,11,28,0,0,4.4,3,4,24
61,Curlies,3,8,8,22,0,0,3.5,2,4,10
